,text,question_score,adjusted_question_score,from_bot,_created
475,Hej,,0.0,True,2016-07-29 17:40:04
476,Bonjour,,0.0,True,2016-07-29 17:41:18
477,Hi,,0.0,True,2016-07-29 17:41:45
478,Great!,,0.0,True,2016-07-29 17:43:54
479,Bonjour,,0.0,True,2016-07-29 17:48:52
480,Hej,,0.0,True,2016-07-29 17:49:28
481,Bonjour,,0.0,True,2016-07-29 17:50:32
482,Hallo,,0.0,True,2016-07-29 18:51:04
483,Hay,,0.0,True,2016-07-29 18:52:07
484,Hej,,0.0,True,2016-07-29 18:52:59
485,,,0.0,True,2016-07-29 18:53:14
486,Great!,,0.0,True,2016-07-29 19:07:05
487,Bonjour,,0.0,True,2016-07-29 19:07:41
488,Hi,,0.0,True,2016-07-29 19:11:11
489,,,0.0,True,2016-07-29 19:12:05
490,,,0.0,True,2016-07-29 19:13:25
491,dude,,0.0,True,2016-07-29 19:13:48
492,Hallo,,0.0,True,2016-08-01 19:16:24
493,Hallo,,0.0,True,2016-08-01 20:08:42
494,Hallo,,0.0,True,2016-08-01 20:08:59
495,Hello,,0.0,True,2016-08-01 20:18:17
496,Hello,,0.0,True,2016-08-01 20:18:28
497,,,0.0,True,2016-08-01 20:18:48
498,Hej,,0.0,True,2016-08-01 20:33:20
499,dude,,0.0,True,2016-08-01 20:33:58
500,no,,0.0,True,2016-08-01 20:34:52
501,haha,,0.0,True,2016-08-01 20:34:59
502,(thumbsup),,0.0,True,2016-08-01 20:35:03
503,,,0.0,True,2016-08-01 21:41:10
504,Hallo,,0.0,True,2016-08-01 21:41:18
505,Great!,,0.0,True,2016-08-01 21:41:24
506,,,0.0,True,2016-08-01 22:07:41
507,,,0.0,True,2016-08-03 20:28:44
508,Hallo,,0.0,True,2016-08-03 21:21:58
509,yes,,0.0,True,2016-08-03 21:23:56
510,Howdy.,,0.0,True,2016-08-03 22:56:22
511,Bonjour!,,0.0,True,2016-08-03 23:01:53
512,Rude,,0.0,True,2016-08-03 23:03:04
513,Hey hey hey.,,0.0,True,2016-08-05 14:49:03
514,hello,100.0,100.0,False,2016-08-05 14:49:03
515,My life gets better every day. What's going on with you?,,0.0,True,2016-08-05 14:50:53
516,how are you,92.0,92.0,False,2016-08-05 14:50:53
